1.600000000000000000e+02 1.061000000000000085e+02
6.400000000000000000e+01 1.298499999999999943e+02
2.720000000000000000e+02 1.330000000000000000e+02
7.040000000000000000e+02 1.392000000000000171e+02
3.760000000000000000e+02 1.397000000000000171e+02
6.880000000000000000e+02 1.503000000000000114e+02
2.400000000000000000e+02 1.508000000000000114e+02
4.480000000000000000e+02 1.896500000000000057e+02
5.040000000000000000e+02 1.905000000000000000e+02
8.000000000000000000e+00 2.430999999999999943e+02
3.760000000000000000e+02 3.603000000000000114e+02
7.760000000000000000e+02 3.693000000000000114e+02
1.040000000000000000e+02 3.941999999999999886e+02
7.440000000000000000e+02 4.180000000000000000e+02
5.760000000000000000e+02 4.329000000000000341e+02
5.120000000000000000e+02 4.420000000000000000e+02
2.400000000000000000e+01 4.564499999999999886e+02
4.480000000000000000e+02 4.616500000000000341e+02
1.840000000000000000e+02 4.617500000000000000e+02
2.240000000000000000e+02 4.625000000000000000e+02
4.480000000000000000e+02 4.824000000000000341e+02
1.760000000000000000e+02 5.170000000000000000e+02
6.400000000000000000e+01 6.288999999999999773e+02
7.200000000000000000e+02 6.867000000000000455e+02
3.600000000000000000e+02 7.020500000000000682e+02
7.040000000000000000e+02 7.152500000000000000e+02
7.760000000000000000e+02 7.296000000000000227e+02
7.200000000000000000e+02 7.437000000000000455e+02
2.240000000000000000e+02 7.459500000000000455e+02
3.760000000000000000e+02 8.494500000000000455e+02
2.960000000000000000e+02 8.503500000000000227e+02
1.280000000000000000e+02 8.505000000000000000e+02
4.800000000000000000e+01 8.527000000000000455e+02
6.320000000000000000e+02 8.673999999999999773e+02
8.800000000000000000e+01 8.842000000000000455e+02
7.440000000000000000e+02 8.895500000000000682e+02
5.680000000000000000e+02 8.915500000000000682e+02
4.080000000000000000e+02 9.102500000000000000e+02
5.600000000000000000e+01 9.114500000000000455e+02
8.000000000000000000e+01 9.240000000000000000e+02
6.080000000000000000e+02 9.373500000000000227e+02
6.320000000000000000e+02 9.387000000000000455e+02
3.440000000000000000e+02 9.396499999999999773e+02
3.680000000000000000e+02 9.573999999999999773e+02
1.200000000000000000e+02 1.010000000000000000e+03
1.920000000000000000e+02 1.014550000000000068e+03
4.160000000000000000e+02 1.019399999999999977e+03
7.440000000000000000e+02 1.032250000000000000e+03
1.440000000000000000e+02 1.054450000000000045e+03
5.040000000000000000e+02 1.059750000000000000e+03
