time,source,target,x,u,t_last_spike
10.0,801,2244,1.0,0.19,-1.0
10.0,802,1819,1.0,0.19,-1.0
10.0,803,6700,1.0,0.19,-1.0
10.0,804,6339,1.0,0.19,-1.0
10.0,805,4256,1.0,0.19,-1.0
10.0,806,6387,1.0,0.19,-1.0
10.0,807,6331,1.0,0.19,-1.0
10.0,808,5767,1.0,0.19,-1.0
10.0,809,6886,1.0,0.19,-1.0
10.0,810,6574,1.0,0.19,-1.0
10.0,811,1103,1.0,0.19,-1.0
10.0,812,7204,1.0,0.19,-1.0
10.0,813,3423,1.0,0.19,-1.0
10.0,814,6730,1.0,0.19,-1.0
10.0,815,6536,1.0,0.19,-1.0
10.0,816,496,1.0,0.19,-1.0
10.0,817,3972,1.0,0.19,-1.0
10.0,818,5470,1.0,0.19,-1.0
10.0,819,6962,1.0,0.19,-1.0
10.0,820,5862,1.0,0.19,-1.0
10.0,821,4199,1.0,0.19,-1.0
10.0,822,2792,1.0,0.19,-1.0
10.0,823,2117,1.0,0.19,-1.0
10.0,824,6017,1.0,0.19,-1.0
10.0,825,1083,1.0,0.19,-1.0
10.0,826,1680,1.0,0.19,-1.0
10.0,827,7156,1.0,0.19,-1.0
10.0,828,305,1.0,0.19,-1.0
10.0,829,4691,1.0,0.19,-1.0
10.0,830,3696,1.0,0.19,-1.0
10.0,831,2758,1.0,0.19,-1.0
10.0,832,3472,1.0,0.19,-1.0
10.0,833,7710,1.0,0.19,-1.0
10.0,834,4440,1.0,0.19,-1.0
10.0,835,7697,1.0,0.19,-1.0
10.0,836,4438,1.0,0.19,-1.0
10.0,837,1166,1.0,0.19,-1.0
10.0,838,3100,1.0,0.19,-1.0
10.0,839,2411,1.0,0.19,-1.0
10.0,840,660,1.0,0.19,-1.0
10.0,841,1101,1.0,0.19,-1.0
10.0,842,4635,1.0,0.19,-1.0
10.0,843,3055,1.0,0.19,-1.0
10.0,844,7529,1.0,0.19,-1.0
10.0,845,5735,1.0,0.19,-1.0
10.0,846,2807,1.0,0.19,-1.0
10.0,847,7919,1.0,0.19,-1.0
10.0,848,3000,1.0,0.19,-1.0
10.0,849,529,1.0,0.19,-1.0
10.0,850,3086,1.0,0.19,-1.0
10.0,851,6188,1.0,0.19,-1.0
10.0,852,6858,1.0,0.19,-1.0
10.0,853,4689,1.0,0.19,-1.0
10.0,854,5283,1.0,0.19,-1.0
10.0,855,3974,1.0,0.19,-1.0
10.0,856,4404,1.0,0.19,-1.0
10.0,857,7025,1.0,0.19,-1.0
10.0,858,3995,1.0,0.19,-1.0
10.0,859,7916,1.0,0.19,-1.0
10.0,860,5929,1.0,0.19,-1.0
10.0,861,7497,1.0,0.19,-1.0
10.0,862,193,1.0,0.19,-1.0
