time,source,target,x,u,t_last_spike
140.0,1,4791,1.0,0.19,-1.0
140.0,2,1875,1.0,0.19,-1.0
140.0,3,4250,1.0,0.19,-1.0
140.0,4,2,1.0,0.19,-1.0
140.0,5,124,1.0,0.19,-1.0
140.0,6,567,1.0,0.19,-1.0
140.0,7,4724,1.0,0.19,-1.0
140.0,8,2812,1.0,0.19,-1.0
140.0,9,4308,1.0,0.19,-1.0
140.0,10,3876,1.0,0.19,-1.0
140.0,11,6033,1.0,0.19,-1.0
140.0,12,913,1.0,0.19,-1.0
140.0,13,6374,1.0,0.19,-1.0
140.0,14,4856,1.0,0.19,-1.0
140.0,15,2658,1.0,0.19,-1.0
140.0,16,424,0.6561,0.3439,78.7
140.0,17,6480,1.0,0.19,-1.0
140.0,18,7610,1.0,0.19,-1.0
140.0,19,1585,1.0,0.19,-1.0
140.0,20,4922,1.0,0.19,-1.0
140.0,21,4912,1.0,0.19,-1.0
140.0,22,2655,1.0,0.19,-1.0
140.0,23,5968,1.0,0.19,-1.0
140.0,24,726,1.0,0.19,-1.0
140.0,25,3854,1.0,0.19,-1.0
140.0,26,3992,1.0,0.19,-1.0
140.0,27,7694,1.0,0.19,-1.0
140.0,28,5957,1.0,0.19,-1.0
140.0,29,507,1.0,0.19,-1.0
140.0,30,837,1.0,0.19,-1.0
140.0,31,3477,1.0,0.19,-1.0
140.0,32,2854,1.0,0.19,-1.0
140.0,33,3573,1.0,0.19,-1.0
140.0,34,3754,1.0,0.19,-1.0
140.0,35,7806,1.0,0.19,-1.0
140.0,36,4296,1.0,0.19,-1.0
140.0,37,6478,1.0,0.19,-1.0
140.0,38,5840,1.0,0.19,-1.0
140.0,39,97,1.0,0.19,-1.0
140.0,40,4652,1.0,0.19,-1.0
140.0,41,6608,1.0,0.19,-1.0
140.0,42,4473,1.0,0.19,-1.0
140.0,43,1105,1.0,0.19,-1.0
140.0,44,7508,1.0,0.19,-1.0
140.0,45,869,1.0,0.19,-1.0
140.0,46,7059,1.0,0.19,-1.0
140.0,47,2303,0.6561,0.3439,63.35
140.0,48,4774,1.0,0.19,-1.0
140.0,49,7062,1.0,0.19,-1.0
140.0,50,6197,1.0,0.19,-1.0
140.0,51,7616,1.0,0.19,-1.0
140.0,52,3100,1.0,0.19,-1.0
140.0,53,2943,0.6561,0.3439,92.75
140.0,54,7759,1.0,0.19,-1.0
140.0,55,7890,1.0,0.19,-1.0
140.0,56,2042,1.0,0.19,-1.0
