time,source,target,x,u,t_last_spike
340.0,1,7580,1.0,0.19,-1.0
340.0,2,2506,1.0,0.19,-1.0
340.0,3,5673,1.0,0.19,-1.0
340.0,4,4908,1.0,0.19,-1.0
340.0,5,4150,1.0,0.19,-1.0
340.0,6,6540,1.0,0.19,-1.0
340.0,7,6202,1.0,0.19,-1.0
340.0,8,4263,1.0,0.19,-1.0
340.0,9,630,1.0,0.19,-1.0
340.0,10,3391,1.0,0.19,-1.0
340.0,11,6757,1.0,0.19,-1.0
340.0,12,5725,1.0,0.19,-1.0
340.0,13,301,1.0,0.19,-1.0
340.0,14,325,1.0,0.19,-1.0
340.0,15,2363,1.0,0.19,-1.0
340.0,16,6389,0.6561,0.3439,78.7
340.0,17,2677,1.0,0.19,-1.0
340.0,18,3885,1.0,0.19,-1.0
340.0,19,1380,1.0,0.19,-1.0
340.0,20,1840,1.0,0.19,-1.0
340.0,21,2679,1.0,0.19,-1.0
340.0,22,1689,1.0,0.19,-1.0
340.0,23,4917,0.6561,0.3439,140.20000000000002
340.0,24,177,1.0,0.19,-1.0
340.0,25,5562,0.6561,0.3439,261.85
340.0,26,4188,1.0,0.19,-1.0
340.0,27,7651,0.6561,0.3439,296.55
340.0,28,3105,1.0,0.19,-1.0
340.0,29,5650,1.0,0.19,-1.0
340.0,30,7214,0.6561,0.3439,142.5
340.0,31,7408,1.0,0.19,-1.0
340.0,32,3267,1.0,0.19,-1.0
340.0,33,4130,1.0,0.19,-1.0
340.0,34,4687,0.6561,0.3439,274.15000000000003
340.0,35,4200,1.0,0.19,-1.0
340.0,36,4213,1.0,0.19,-1.0
340.0,37,2571,1.0,0.19,-1.0
340.0,38,5929,1.0,0.19,-1.0
340.0,39,527,1.0,0.19,-1.0
340.0,40,7919,1.0,0.19,-1.0
340.0,41,6644,1.0,0.19,-1.0
340.0,42,3706,1.0,0.19,-1.0
340.0,43,5147,1.0,0.19,-1.0
340.0,44,7061,0.6561,0.3439,310.35
340.0,45,869,1.0,0.19,-1.0
340.0,46,7059,1.0,0.19,-1.0
340.0,47,4898,0.6561,0.3439,63.35
340.0,48,2609,1.0,0.19,-1.0
340.0,49,3434,1.0,0.19,-1.0
340.0,50,3791,1.0,0.19,-1.0
340.0,51,5042,1.0,0.19,-1.0
340.0,52,1258,1.0,0.19,-1.0
340.0,53,2943,0.6561,0.3439,92.75
340.0,54,3185,1.0,0.19,-1.0
340.0,55,4573,1.0,0.19,-1.0
340.0,56,1228,0.6561,0.3439,328.35
340.0,57,4421,1.0,0.19,-1.0
340.0,58,1488,1.0,0.19,-1.0
340.0,59,5598,1.0,0.19,-1.0
340.0,60,290,1.0,0.19,-1.0
340.0,61,6460,1.0,0.19,-1.0
340.0,62,111,0.6561,0.3439,42.85
340.0,63,3590,0.6561,0.3439,158.9
340.0,64,418,1.0,0.19,-1.0
340.0,65,3908,1.0,0.19,-1.0
340.0,66,6568,1.0,0.19,-1.0
340.0,67,6167,1.0,0.19,-1.0
340.0,68,1840,1.0,0.19,-1.0
340.0,69,4025,1.0,0.19,-1.0
340.0,70,234,0.6561,0.3439,260.45
340.0,71,4402,1.0,0.19,-1.0
340.0,72,4657,1.0,0.19,-1.0
340.0,73,4401,0.6561,0.3439,76.60000000000001
340.0,74,4537,1.0,0.19,-1.0
340.0,75,6964,1.0,0.19,-1.0
340.0,76,7695,0.6561,0.3439,245.45000000000002
340.0,77,4669,1.0,0.19,-1.0
340.0,78,5047,1.0,0.19,-1.0
340.0,79,6188,1.0,0.19,-1.0
340.0,80,3578,0.6561,0.3439,120.05
340.0,81,6982,1.0,0.19,-1.0
340.0,82,5494,1.0,0.19,-1.0
340.0,83,2147,1.0,0.19,-1.0
340.0,84,7193,0.6561,0.3439,83.85000000000001
340.0,85,4551,1.0,0.19,-1.0
340.0,86,4697,1.0,0.19,-1.0
340.0,87,2340,1.0,0.19,-1.0
340.0,88,1773,1.0,0.19,-1.0
340.0,89,7435,0.6561,0.3439,271.5
340.0,90,1357,1.0,0.19,-1.0
340.0,91,6858,1.0,0.19,-1.0
340.0,92,1816,1.0,0.19,-1.0
340.0,93,3437,1.0,0.19,-1.0
340.0,94,3005,0.6561,0.3439,73.55
340.0,95,480,1.0,0.19,-1.0
340.0,96,5416,1.0,0.19,-1.0
340.0,97,5069,1.0,0.19,-1.0
340.0,98,1896,0.6561,0.3439,308.2
340.0,99,7211,1.0,0.19,-1.0
340.0,100,779,1.0,0.19,-1.0
340.0,101,4572,1.0,0.19,-1.0
340.0,102,2324,1.0,0.19,-1.0
340.0,103,428,1.0,0.19,-1.0
340.0,104,7092,1.0,0.19,-1.0
340.0,105,1477,1.0,0.19,-1.0
340.0,106,428,1.0,0.19,-1.0
340.0,107,4651,1.0,0.19,-1.0
340.0,108,1694,1.0,0.19,-1.0
340.0,109,424,1.0,0.19,-1.0
340.0,110,5200,1.0,0.19,-1.0
340.0,111,5896,0.6561,0.3439,299.85
340.0,112,7285,1.0,0.19,-1.0
340.0,113,2109,0.6561,0.3439,187.75
340.0,114,4200,1.0,0.19,-1.0
340.0,115,6187,1.0,0.19,-1.0
340.0,116,1667,1.0,0.19,-1.0
340.0,117,2792,1.0,0.19,-1.0
340.0,118,3906,1.0,0.19,-1.0
340.0,119,2914,1.0,0.19,-1.0
340.0,120,1269,1.0,0.19,-1.0
340.0,121,6451,1.0,0.19,-1.0
340.0,122,3490,1.0,0.19,-1.0
340.0,123,2914,1.0,0.19,-1.0
340.0,124,4746,1.0,0.19,-1.0
340.0,125,1108,1.0,0.19,-1.0
340.0,126,1979,1.0,0.19,-1.0
340.0,127,5768,0.6561,0.3439,240.20000000000002
340.0,128,2995,0.5023627946983684,0.44811422915599103,300.8
340.0,129,7836,1.0,0.19,-1.0
340.0,130,1193,0.4825748434434783,0.45213253447562574,290.8
340.0,131,83,0.6561,0.3439,241.95000000000002
340.0,132,4483,0.6561,0.3439,224.15
340.0,133,7105,1.0,0.19,-1.0
340.0,134,393,1.0,0.19,-1.0
340.0,135,3509,1.0,0.19,-1.0
340.0,136,2578,1.0,0.19,-1.0
340.0,137,5960,0.6561,0.3439,245.6
340.0,138,7894,1.0,0.19,-1.0
340.0,139,3153,0.6561,0.3439,234.8
340.0,140,4733,1.0,0.19,-1.0
340.0,141,5077,1.0,0.19,-1.0
340.0,142,494,1.0,0.19,-1.0
340.0,143,6276,1.0,0.19,-1.0
340.0,144,1150,1.0,0.19,-1.0
340.0,145,2065,1.0,0.19,-1.0
340.0,146,1681,1.0,0.19,-1.0
340.0,147,5127,1.0,0.19,-1.0
340.0,148,3448,0.6561,0.3439,119.0
340.0,149,7714,1.0,0.19,-1.0
340.0,150,7496,1.0,0.19,-1.0
340.0,151,3118,1.0,0.19,-1.0
340.0,152,7416,1.0,0.19,-1.0
340.0,153,4497,1.0,0.19,-1.0
340.0,154,7157,1.0,0.19,-1.0
340.0,155,5228,0.6561,0.3439,98.5
340.0,156,3376,0.6561,0.3439,66.15
340.0,157,4541,1.0,0.19,-1.0
340.0,158,7307,1.0,0.19,-1.0
340.0,159,3380,1.0,0.19,-1.0
340.0,160,6948,1.0,0.19,-1.0
340.0,161,4175,1.0,0.19,-1.0
