time,source,target,x,u,t_last_spike
190.0,945,253,1.0,0.19,-1.0
190.0,946,5498,1.0,0.19,-1.0
190.0,947,3920,1.0,0.19,-1.0
190.0,948,2334,1.0,0.19,-1.0
190.0,949,4938,0.6561,0.3439,94.05
190.0,950,5473,1.0,0.19,-1.0
190.0,951,4465,1.0,0.19,-1.0
190.0,952,4892,1.0,0.19,-1.0
190.0,953,6903,1.0,0.19,-1.0
190.0,954,34,0.6561,0.3439,20.45
190.0,955,7127,0.6561,0.3439,68.3
190.0,956,4677,1.0,0.19,-1.0
190.0,957,6239,1.0,0.19,-1.0
190.0,958,7241,1.0,0.19,-1.0
190.0,959,5861,0.6561,0.3439,81.75
190.0,960,200,1.0,0.19,-1.0
190.0,961,6910,1.0,0.19,-1.0
190.0,962,1416,1.0,0.19,-1.0
190.0,963,2831,1.0,0.19,-1.0
190.0,964,216,0.6561,0.3439,149.20000000000002
190.0,965,4899,1.0,0.19,-1.0
190.0,966,1028,1.0,0.19,-1.0
190.0,967,2189,1.0,0.19,-1.0
190.0,968,5401,1.0,0.19,-1.0
190.0,969,5728,1.0,0.19,-1.0
190.0,970,1809,1.0,0.19,-1.0
190.0,971,17,1.0,0.19,-1.0
190.0,972,6371,1.0,0.19,-1.0
190.0,973,4368,1.0,0.19,-1.0
190.0,974,5315,1.0,0.19,-1.0
190.0,975,6259,1.0,0.19,-1.0
190.0,976,5349,1.0,0.19,-1.0
190.0,977,1952,1.0,0.19,-1.0
190.0,978,4984,1.0,0.19,-1.0
190.0,979,1930,1.0,0.19,-1.0
190.0,980,7926,1.0,0.19,-1.0
190.0,981,6655,1.0,0.19,-1.0
190.0,982,224,1.0,0.19,-1.0
190.0,983,271,1.0,0.19,-1.0
190.0,984,5928,1.0,0.19,-1.0
190.0,985,7118,1.0,0.19,-1.0
190.0,986,1532,1.0,0.19,-1.0
190.0,987,544,0.6561,0.3439,82.15
190.0,988,2052,1.0,0.19,-1.0
190.0,989,5915,0.6561,0.3439,33.6
190.0,990,2272,1.0,0.19,-1.0
190.0,991,549,1.0,0.19,-1.0
190.0,992,1967,1.0,0.19,-1.0
190.0,993,7656,1.0,0.19,-1.0
