time,source,target,x,u,t_last_spike
110.0,1,17,1.0,0.19,-1.0
110.0,2,4111,1.0,0.19,-1.0
110.0,3,3044,1.0,0.19,-1.0
110.0,4,7456,1.0,0.19,-1.0
110.0,5,124,1.0,0.19,-1.0
110.0,6,5608,1.0,0.19,-1.0
110.0,7,4724,1.0,0.19,-1.0
110.0,8,2812,1.0,0.19,-1.0
110.0,9,4308,1.0,0.19,-1.0
110.0,10,4094,1.0,0.19,-1.0
110.0,11,4630,1.0,0.19,-1.0
110.0,12,5178,1.0,0.19,-1.0
110.0,13,4979,1.0,0.19,-1.0
110.0,14,5874,1.0,0.19,-1.0
110.0,15,3501,1.0,0.19,-1.0
110.0,16,252,0.6561,0.3439,78.7
110.0,17,2677,1.0,0.19,-1.0
110.0,18,3885,1.0,0.19,-1.0
110.0,19,384,1.0,0.19,-1.0
110.0,20,3660,1.0,0.19,-1.0
110.0,21,1282,1.0,0.19,-1.0
110.0,22,3019,1.0,0.19,-1.0
110.0,23,7454,1.0,0.19,-1.0
110.0,24,24,1.0,0.19,-1.0
110.0,25,6231,1.0,0.19,-1.0
110.0,26,3992,1.0,0.19,-1.0
110.0,27,3378,1.0,0.19,-1.0
110.0,28,5778,1.0,0.19,-1.0
110.0,29,2511,1.0,0.19,-1.0
110.0,30,2946,1.0,0.19,-1.0
110.0,31,3477,1.0,0.19,-1.0
110.0,32,5240,1.0,0.19,-1.0
110.0,33,3887,1.0,0.19,-1.0
110.0,34,5219,1.0,0.19,-1.0
110.0,35,205,1.0,0.19,-1.0
110.0,36,5238,1.0,0.19,-1.0
110.0,37,6478,1.0,0.19,-1.0
110.0,38,5840,1.0,0.19,-1.0
110.0,39,3477,1.0,0.19,-1.0
110.0,40,4652,1.0,0.19,-1.0
110.0,41,3327,1.0,0.19,-1.0
110.0,42,4473,1.0,0.19,-1.0
110.0,43,3622,1.0,0.19,-1.0
110.0,44,5130,1.0,0.19,-1.0
110.0,45,2636,1.0,0.19,-1.0
110.0,46,4404,1.0,0.19,-1.0
110.0,47,2303,0.6561,0.3439,63.35
110.0,48,3935,1.0,0.19,-1.0
110.0,49,5436,1.0,0.19,-1.0
110.0,50,3496,1.0,0.19,-1.0
110.0,51,6087,1.0,0.19,-1.0
110.0,52,2653,1.0,0.19,-1.0
110.0,53,4112,0.6561,0.3439,92.75
110.0,54,2168,1.0,0.19,-1.0
110.0,55,4208,1.0,0.19,-1.0
110.0,56,5390,1.0,0.19,-1.0
110.0,57,2456,1.0,0.19,-1.0
110.0,58,7503,1.0,0.19,-1.0
110.0,59,5555,1.0,0.19,-1.0
110.0,60,4456,1.0,0.19,-1.0
110.0,61,3415,1.0,0.19,-1.0
110.0,62,3040,0.6561,0.3439,42.85
110.0,63,1192,1.0,0.19,-1.0
110.0,64,5912,1.0,0.19,-1.0
110.0,65,3110,1.0,0.19,-1.0
110.0,66,2735,1.0,0.19,-1.0
110.0,67,4620,1.0,0.19,-1.0
110.0,68,1840,1.0,0.19,-1.0
110.0,69,2047,1.0,0.19,-1.0
110.0,70,7966,1.0,0.19,-1.0
110.0,71,5619,1.0,0.19,-1.0
110.0,72,4657,1.0,0.19,-1.0
110.0,73,2867,0.6561,0.3439,76.60000000000001
