time,source,target,x,u,t_last_spike
110.0,801,2016,1.0,0.19,-1.0
110.0,802,117,1.0,0.19,-1.0
110.0,803,2737,1.0,0.19,-1.0
110.0,804,4488,1.0,0.19,-1.0
110.0,805,756,1.0,0.19,-1.0
110.0,806,4870,1.0,0.19,-1.0
110.0,807,2736,1.0,0.19,-1.0
110.0,808,6666,1.0,0.19,-1.0
110.0,809,5632,1.0,0.19,-1.0
110.0,810,7076,1.0,0.19,-1.0
110.0,811,2965,1.0,0.19,-1.0
110.0,812,7629,1.0,0.19,-1.0
110.0,813,888,1.0,0.19,-1.0
110.0,814,6730,1.0,0.19,-1.0
110.0,815,1990,1.0,0.19,-1.0
110.0,816,496,1.0,0.19,-1.0
110.0,817,7629,1.0,0.19,-1.0
110.0,818,4439,1.0,0.19,-1.0
110.0,819,4535,1.0,0.19,-1.0
110.0,820,3415,1.0,0.19,-1.0
110.0,821,4438,1.0,0.19,-1.0
110.0,822,6873,1.0,0.19,-1.0
110.0,823,4000,1.0,0.19,-1.0
110.0,824,4504,1.0,0.19,-1.0
110.0,825,5769,1.0,0.19,-1.0
110.0,826,2226,1.0,0.19,-1.0
110.0,827,6359,1.0,0.19,-1.0
110.0,828,3762,1.0,0.19,-1.0
110.0,829,6008,1.0,0.19,-1.0
110.0,830,3073,1.0,0.19,-1.0
110.0,831,5567,1.0,0.19,-1.0
110.0,832,2956,1.0,0.19,-1.0
110.0,833,6784,0.6561,0.3439,103.9
110.0,834,1361,1.0,0.19,-1.0
110.0,835,3653,1.0,0.19,-1.0
110.0,836,1792,1.0,0.19,-1.0
110.0,837,7972,1.0,0.19,-1.0
110.0,838,4054,1.0,0.19,-1.0
110.0,839,2914,1.0,0.19,-1.0
110.0,840,660,1.0,0.19,-1.0
110.0,841,2167,1.0,0.19,-1.0
110.0,842,6618,1.0,0.19,-1.0
110.0,843,7755,1.0,0.19,-1.0
110.0,844,7529,1.0,0.19,-1.0
110.0,845,5735,1.0,0.19,-1.0
110.0,846,7867,1.0,0.19,-1.0
110.0,847,7757,1.0,0.19,-1.0
110.0,848,4334,1.0,0.19,-1.0
110.0,849,615,1.0,0.19,-1.0
110.0,850,7404,1.0,0.19,-1.0
110.0,851,295,1.0,0.19,-1.0
110.0,852,696,1.0,0.19,-1.0
110.0,853,6797,1.0,0.19,-1.0
110.0,854,7783,1.0,0.19,-1.0
110.0,855,4423,1.0,0.19,-1.0
110.0,856,2496,1.0,0.19,-1.0
110.0,857,6616,1.0,0.19,-1.0
110.0,858,2393,1.0,0.19,-1.0
110.0,859,726,1.0,0.19,-1.0
110.0,860,1408,1.0,0.19,-1.0
110.0,861,7503,1.0,0.19,-1.0
110.0,862,193,0.6561,0.3439,48.0
110.0,863,1585,1.0,0.19,-1.0
110.0,864,5534,1.0,0.19,-1.0
110.0,865,1248,0.6561,0.3439,45.65
110.0,866,6496,1.0,0.19,-1.0
110.0,867,326,1.0,0.19,-1.0
110.0,868,55,1.0,0.19,-1.0
110.0,869,7607,1.0,0.19,-1.0
110.0,870,6176,1.0,0.19,-1.0
110.0,871,2361,1.0,0.19,-1.0
110.0,872,7743,1.0,0.19,-1.0
110.0,873,3183,1.0,0.19,-1.0
110.0,874,4262,1.0,0.19,-1.0
110.0,875,3026,1.0,0.19,-1.0
110.0,876,1444,1.0,0.19,-1.0
110.0,877,7420,1.0,0.19,-1.0
110.0,878,4566,1.0,0.19,-1.0
110.0,879,2457,1.0,0.19,-1.0
110.0,880,1189,1.0,0.19,-1.0
110.0,881,5297,1.0,0.19,-1.0
110.0,882,6764,1.0,0.19,-1.0
110.0,883,5559,1.0,0.19,-1.0
110.0,884,7252,1.0,0.19,-1.0
110.0,885,1771,1.0,0.19,-1.0
110.0,886,5557,1.0,0.19,-1.0
110.0,887,5159,1.0,0.19,-1.0
110.0,888,4383,1.0,0.19,-1.0
110.0,889,6159,1.0,0.19,-1.0
110.0,890,3917,1.0,0.19,-1.0
110.0,891,7054,1.0,0.19,-1.0
110.0,892,4666,1.0,0.19,-1.0
110.0,893,6988,1.0,0.19,-1.0
110.0,894,6072,1.0,0.19,-1.0
110.0,895,5973,1.0,0.19,-1.0
110.0,896,7585,1.0,0.19,-1.0
110.0,897,4231,1.0,0.19,-1.0
110.0,898,1463,1.0,0.19,-1.0
110.0,899,3325,1.0,0.19,-1.0
110.0,900,2090,1.0,0.19,-1.0
110.0,901,1684,1.0,0.19,-1.0
110.0,902,871,1.0,0.19,-1.0
110.0,903,4186,1.0,0.19,-1.0
110.0,904,7429,1.0,0.19,-1.0
110.0,905,7972,1.0,0.19,-1.0
110.0,906,5264,1.0,0.19,-1.0
110.0,907,1673,1.0,0.19,-1.0
110.0,908,3556,1.0,0.19,-1.0
110.0,909,1877,1.0,0.19,-1.0
110.0,910,2795,1.0,0.19,-1.0
110.0,911,5624,1.0,0.19,-1.0
110.0,912,6945,1.0,0.19,-1.0
110.0,913,7195,1.0,0.19,-1.0
110.0,914,176,1.0,0.19,-1.0
110.0,915,2594,1.0,0.19,-1.0
110.0,916,438,1.0,0.19,-1.0
110.0,917,5664,1.0,0.19,-1.0
110.0,918,7980,1.0,0.19,-1.0
110.0,919,6814,1.0,0.19,-1.0
110.0,920,6015,1.0,0.19,-1.0
110.0,921,1913,1.0,0.19,-1.0
110.0,922,325,1.0,0.19,-1.0
110.0,923,2725,1.0,0.19,-1.0
110.0,924,3173,1.0,0.19,-1.0
110.0,925,37,1.0,0.19,-1.0
110.0,926,3570,1.0,0.19,-1.0
110.0,927,1301,1.0,0.19,-1.0
110.0,928,3210,1.0,0.19,-1.0
110.0,929,4447,1.0,0.19,-1.0
110.0,930,3548,1.0,0.19,-1.0
110.0,931,3432,1.0,0.19,-1.0
110.0,932,7574,1.0,0.19,-1.0
110.0,933,2112,0.6561,0.3439,53.050000000000004
110.0,934,2235,1.0,0.19,-1.0
110.0,935,5354,1.0,0.19,-1.0
110.0,936,48,1.0,0.19,-1.0
110.0,937,307,1.0,0.19,-1.0
110.0,938,116,1.0,0.19,-1.0
110.0,939,2761,1.0,0.19,-1.0
110.0,940,138,1.0,0.19,-1.0
110.0,941,4622,1.0,0.19,-1.0
110.0,942,4469,1.0,0.19,-1.0
110.0,943,3768,1.0,0.19,-1.0
110.0,944,1264,1.0,0.19,-1.0
110.0,945,826,1.0,0.19,-1.0
110.0,946,7152,1.0,0.19,-1.0
110.0,947,585,1.0,0.19,-1.0
110.0,948,7068,1.0,0.19,-1.0
110.0,949,7809,0.6561,0.3439,94.05
110.0,950,3686,1.0,0.19,-1.0
110.0,951,252,1.0,0.19,-1.0
110.0,952,1221,1.0,0.19,-1.0
110.0,953,5450,1.0,0.19,-1.0
110.0,954,6197,0.6561,0.3439,20.45
110.0,955,3675,0.6561,0.3439,68.3
110.0,956,2012,1.0,0.19,-1.0
110.0,957,6239,1.0,0.19,-1.0
110.0,958,6680,1.0,0.19,-1.0
110.0,959,4763,0.6561,0.3439,81.75
110.0,960,200,1.0,0.19,-1.0
110.0,961,2,1.0,0.19,-1.0
110.0,962,147,1.0,0.19,-1.0
110.0,963,7280,1.0,0.19,-1.0
110.0,964,6580,1.0,0.19,-1.0
110.0,965,4881,1.0,0.19,-1.0
110.0,966,4193,1.0,0.19,-1.0
110.0,967,5024,1.0,0.19,-1.0
110.0,968,5401,1.0,0.19,-1.0
110.0,969,5196,1.0,0.19,-1.0
110.0,970,344,1.0,0.19,-1.0
110.0,971,578,1.0,0.19,-1.0
110.0,972,1370,1.0,0.19,-1.0
110.0,973,5109,1.0,0.19,-1.0
110.0,974,1668,1.0,0.19,-1.0
110.0,975,6259,1.0,0.19,-1.0
110.0,976,3632,1.0,0.19,-1.0
110.0,977,3604,1.0,0.19,-1.0
110.0,978,501,1.0,0.19,-1.0
110.0,979,6456,1.0,0.19,-1.0
110.0,980,4660,1.0,0.19,-1.0
110.0,981,1904,1.0,0.19,-1.0
110.0,982,7481,1.0,0.19,-1.0
110.0,983,6881,1.0,0.19,-1.0
110.0,984,5564,1.0,0.19,-1.0
110.0,985,3797,1.0,0.19,-1.0
110.0,986,2219,1.0,0.19,-1.0
110.0,987,2657,0.6561,0.3439,82.15
110.0,988,5699,1.0,0.19,-1.0
110.0,989,5297,0.6561,0.3439,33.6
110.0,990,1011,1.0,0.19,-1.0
110.0,991,7642,1.0,0.19,-1.0
110.0,992,2736,1.0,0.19,-1.0
110.0,993,7420,1.0,0.19,-1.0
110.0,994,3461,1.0,0.19,-1.0
110.0,995,4175,1.0,0.19,-1.0
110.0,996,7700,1.0,0.19,-1.0
110.0,997,3040,1.0,0.19,-1.0
110.0,998,2379,0.6561,0.3439,75.7
110.0,999,3601,1.0,0.19,-1.0
110.0,1000,6896,1.0,0.19,-1.0
110.0,1001,4240,1.0,0.19,-1.0
110.0,1002,5844,1.0,0.19,-1.0
110.0,1003,6427,1.0,0.19,-1.0
110.0,1004,4172,1.0,0.19,-1.0
110.0,1005,7525,1.0,0.19,-1.0
110.0,1006,7096,1.0,0.19,-1.0
110.0,1007,5443,1.0,0.19,-1.0
110.0,1008,2587,0.6561,0.3439,19.3
110.0,1009,7163,1.0,0.19,-1.0
110.0,1010,6348,0.6561,0.3439,55.85
110.0,1011,1766,1.0,0.19,-1.0
110.0,1012,3751,1.0,0.19,-1.0
