source,target,weight,x,u,tau_F,tau_D
1,3873,17.04255965118713,1.0,0.19,1500.0,200.0
1,433,76.69151843034209,1.0,0.19,1500.0,200.0
1,313,76.69151843034209,1.0,0.19,1500.0,200.0
1,3401,17.04255965118713,1.0,0.19,1500.0,200.0
1,4057,17.04255965118713,1.0,0.19,1500.0,200.0
1,6377,17.04255965118713,1.0,0.19,1500.0,200.0
1,6257,17.04255965118713,1.0,0.19,1500.0,200.0
1,2385,17.04255965118713,1.0,0.19,1500.0,200.0
1,3833,17.04255965118713,1.0,0.19,1500.0,200.0
1,2265,17.04255965118713,1.0,0.19,1500.0,200.0
1,3425,17.04255965118713,1.0,0.19,1500.0,200.0
1,385,76.69151843034209,1.0,0.19,1500.0,200.0
1,7289,17.04255965118713,1.0,0.19,1500.0,200.0
1,4745,17.04255965118713,1.0,0.19,1500.0,200.0
1,4945,17.04255965118713,1.0,0.19,1500.0,200.0
1,5857,17.04255965118713,1.0,0.19,1500.0,200.0
1,2505,17.04255965118713,1.0,0.19,1500.0,200.0
1,545,76.69151843034209,1.0,0.19,1500.0,200.0
1,305,76.69151843034209,1.0,0.19,1500.0,200.0
1,4705,17.04255965118713,1.0,0.19,1500.0,200.0
1,6657,17.04255965118713,1.0,0.19,1500.0,200.0
1,5345,17.04255965118713,1.0,0.19,1500.0,200.0
1,5497,17.04255965118713,1.0,0.19,1500.0,200.0
1,4545,17.04255965118713,1.0,0.19,1500.0,200.0
1,1425,17.04255965118713,1.0,0.19,1500.0,200.0
1,7849,17.04255965118713,1.0,0.19,1500.0,200.0
1,1825,17.04255965118713,1.0,0.19,1500.0,200.0
1,5697,17.04255965118713,1.0,0.19,1500.0,200.0
1,1225,17.04255965118713,1.0,0.19,1500.0,200.0
1,7449,17.04255965118713,1.0,0.19,1500.0,200.0
1,1897,17.04255965118713,1.0,0.19,1500.0,200.0
1,4793,17.04255965118713,1.0,0.19,1500.0,200.0
1,1105,17.04255965118713,1.0,0.19,1500.0,200.0
1,3545,17.04255965118713,1.0,0.19,1500.0,200.0
1,7497,17.04255965118713,1.0,0.19,1500.0,200.0
1,3185,17.04255965118713,1.0,0.19,1500.0,200.0
1,5297,17.04255965118713,1.0,0.19,1500.0,200.0
1,7329,17.04255965118713,1.0,0.19,1500.0,200.0
1,417,76.69151843034209,1.0,0.19,1500.0,200.0
1,1777,17.04255965118713,1.0,0.19,1500.0,200.0
1,2705,17.04255965118713,1.0,0.19,1500.0,200.0
1,6897,17.04255965118713,1.0,0.19,1500.0,200.0
1,2305,17.04255965118713,1.0,0.19,1500.0,200.0
1,4625,17.04255965118713,1.0,0.19,1500.0,200.0
1,4593,17.04255965118713,1.0,0.19,1500.0,200.0
1,337,76.69151843034209,1.0,0.19,1500.0,200.0
1,3585,17.04255965118713,1.0,0.19,1500.0,200.0
1,1465,17.04255965118713,1.0,0.19,1500.0,200.0
1,2625,17.04255965118713,1.0,0.19,1500.0,200.0
1,977,17.04255965118713,1.0,0.19,1500.0,200.0
1,2713,17.04255965118713,1.0,0.19,1500.0,200.0
1,4673,17.04255965118713,1.0,0.19,1500.0,200.0
1,457,76.69151843034209,1.0,0.19,1500.0,200.0
1,673,76.69151843034209,1.0,0.19,1500.0,200.0
1,6369,17.04255965118713,1.0,0.19,1500.0,200.0
1,4465,17.04255965118713,1.0,0.19,1500.0,200.0
1,6569,17.04255965118713,1.0,0.19,1500.0,200.0
1,1353,17.04255965118713,1.0,0.19,1500.0,200.0
1,1025,17.04255965118713,1.0,0.19,1500.0,200.0
1,3145,17.04255965118713,1.0,0.19,1500.0,200.0
1,577,76.69151843034209,1.0,0.19,1500.0,200.0
1,2993,17.04255965118713,1.0,0.19,1500.0,200.0
1,6809,17.04255965118713,1.0,0.19,1500.0,200.0
1,2833,17.04255965118713,1.0,0.19,1500.0,200.0
1,7321,17.04255965118713,1.0,0.19,1500.0,200.0
1,3865,17.04255965118713,1.0,0.19,1500.0,200.0
1,937,17.04255965118713,1.0,0.19,1500.0,200.0
1,4977,17.04255965118713,1.0,0.19,1500.0,200.0
1,585,76.69151843034209,1.0,0.19,1500.0,200.0
1,825,17.04255965118713,1.0,0.19,1500.0,200.0
1,3097,17.04255965118713,1.0,0.19,1500.0,200.0
1,3065,17.04255965118713,1.0,0.19,1500.0,200.0
1,4657,17.04255965118713,1.0,0.19,1500.0,200.0
1,3977,17.04255965118713,1.0,0.19,1500.0,200.0
1,7441,17.04255965118713,1.0,0.19,1500.0,200.0
1,57,76.69151843034209,1.0,0.19,1500.0,200.0
1,6849,17.04255965118713,1.0,0.19,1500.0,200.0
1,857,17.04255965118713,1.0,0.19,1500.0,200.0
1,3257,17.04255965118713,1.0,0.19,1500.0,200.0
1,6689,17.04255965118713,1.0,0.19,1500.0,200.0
